facility_name,facility_phone,facility_address,facility_type,geo_lng,geo_lat
요가블리스&필라테스 숭실대점,28141488,서울특별시 동작구 상도로 379 3층 요가블리스앤필라테스 숭실대점(상도동),필라테스,126.9549874,37.4952765
옳은필라테스,,서울특별시 관악구 양녕로 30 청운빌딩 6층(봉천동),필라테스,126.94695,37.4846139
삼성 태권도장,23758333,서울시 서대문구 증가로 191 306~308호,태권도,126.9166617,37.5782468
삼성골드스포츠클럽,23023114,"서울특별시 서대문구 증가로 191 삼성골드스포츠클럽(남가좌동, DMC래미안클라시스)",종합체육시설,126.9166617,37.5782468
올웨이즈연구소,25822332,서울특별시 서초구 서초대로64길 76-21 삼성레포츠센터 1층(서초동),기타종목,127.0215488,37.491823
올웨더테니스 아카데미,,서울특별시 노원구 노원로22길 77 건영3차상가 4층 올웨더테니스(중계동),테니스,127.0745726,37.6478846
삼손스포츠수기명가,,서울특별시 광진구 아차산로65길 14 B1층 삼손스포츠수기명가(구의동),헬스,127.0940943,37.5410236
한국그룹운동개발원,263698004,서울특별시 구로구 경서로 11 201호(개봉동),기타종목,126.8564769,37.4985837
한국가양 태권도장,236659333,서울특별시 강서구 허준로 198 가양프라자 5층 한국가양태권도(가양동),태권도,126.8602635,37.5613029
더본필라테스,,서울특별시 구로구 천왕로 36 2층 203호 더본필라테스(천왕동),필라테스,126.8393789,37.4808802
삼양검도관,236753119,서울특별시 강북구 솔샘로 254 4층 삼양검도관(미아동),검도,127.0207598,37.6193358
한결와이앤피,220646361,서울특별시 강서구 금낭화로 91-2 502호(마이필라테스N요가)(방화동),필라테스,126.81109,37.573658
올림픽수영장,221803728,서울특별시 송파구 올림픽로 424 올림픽수영장(방이동),헬스,127.122959,37.520934
올림픽공원스포츠센터,221803772,서울특별시 송파구 올림픽로 424 올림픽공원스포츠센터 1-2문(방이동),종합체육시설,127.122959,37.520934
상계탁구,,서울특별시 노원구 덕릉로83길 9-20 3층(중계동),탁구,127.073886,37.6596092
상도태권도,28213152,서울특별시 동작구 상도로22길 46 2층 상도태권도(상도동),태권도,126.937082,37.5014093
상도태권도 신상도점,28261570,서울특별시 동작구 장승배기로 7 3층 상도태권도(상도동),태권도,126.9434217,37.499329
구산탁구교실,23858441,서울특별시 은평구 연서로 128 지하 1층(역촌동),탁구,126.9171099,37.610087
올레이디짐 덕성여대점,,서울특별시 도봉구 삼양로 532 2층(쌍문동),헬스,127.0134446,37.6505826
올데이필라테스,29771534,서울특별시 노원구 동일로204가길 34 225(중계동),필라테스,127.06816,37.6407272
온앤온 피트니스 연신내점,275259653,서울특별시 은평구 통일로 869 서연빌딩 4층(갈현동),헬스,126.919819,37.6203877
상암탁구클럽,,서울특별시 은평구 수색로 285 청아리빙텔 지하1층(수색동),탁구,126.8927486,37.5832956
상일유도스쿨,24269759,서울특별시 강동구 상암로 425 2층(상일동),유도,127.1698204,37.5458282
새로운운동발달센터,24458008,서울특별시 강남구 헌릉로 569 강남리더스프라자606호(세곡동),기타종목,127.1012408,37.4657595
옥정교육문화관,222046650,서울특별시 성동구 한림말길 43 옥정교육문화관(옥수동),종합체육시설,127.015406,37.5419057
새서울태권도,29783332,서울특별시 중랑구 중랑역로 147 3층(묵동),태권도,127.0765948,37.6066633
스포터짐,226592133,서울특별시 강서구 양천로57길 10-10 지하1층(가양동),헬스,126.852614,37.5628538
오핑탁구장,24416004,서울특별시 강동구 고덕로24길 50 지층 오핑탁구장(암사동),탁구,127.1351149,37.552387
